Name,Period,Open,Low,High,Close,ChangeRate,PercentageChange,Date,Date_Shamsi
Gram18Ayar,Daily,6099000,6056000,6143000,6116000,12000,0.20%,4/19/2020,1399/01/31
Gram18Ayar,Daily,6118000,6118000,6289000,6268000,152000,2.49%,4/20/2020,1399/02/01
Gram18Ayar,Daily,6307000,6307000,6547000,6545000,277000,4.42%,4/21/2020,1399/02/02
Gram18Ayar,Daily,6540000,6393000,6575000,6457000,88000,1.36%,4/22/2020,1399/02/03
Gram18Ayar,Daily,6457000,6457000,6457000,6457000,-,-,4/23/2020,1399/02/04
Gram18Ayar,Daily,6524000,6356000,6575000,6370000,87000,1.37%,4/25/2020,1399/02/06
Gram18Ayar,Daily,6360000,6305000,6383000,6379000,9000,0.14%,4/26/2020,1399/02/07
Gram18Ayar,Daily,6377000,6351000,6416000,6383000,4000,0.06%,4/27/2020,1399/02/08
Gram18Ayar,Daily,6423000,6388000,6467000,6407000,24000,0.38%,4/28/2020,1399/02/09
Gram18Ayar,Daily,6457000,6400000,6480000,6400000,7000,0.11%,4/29/2020,1399/02/10
Gram18Ayar,Daily,6400000,6400000,6400000,6400000,-,-,4/30/2020,1399/02/11
Gram18Ayar,Daily,6347000,6333000,6409000,6393000,7000,0.11%,5/2/2020,1399/02/13
Gram18Ayar,Daily,6402000,6400000,6480000,6460000,67000,1.05%,5/3/2020,1399/02/14
Gram18Ayar,Daily,6457000,6416000,6476000,6453000,7000,0.11%,5/4/2020,1399/02/15
Gram18Ayar,Daily,6499000,6469000,6529000,6480000,27000,0.42%,5/5/2020,1399/02/16
Gram18Ayar,Daily,6487000,6487000,6529000,6517000,37000,0.57%,5/6/2020,1399/02/17
Gram18Ayar,Daily,6517000,6517000,6517000,6517000,-,-,5/7/2020,1399/02/18
Gram18Ayar,Daily,6637000,6624000,6679000,6665000,148000,2.27%,5/9/2020,1399/02/20
Gram18Ayar,Daily,6672000,6660000,6757000,6753000,88000,1.32%,5/10/2020,1399/02/21
Gram18Ayar,Daily,6757000,6757000,6917000,6873000,120000,1.78%,5/11/2020,1399/02/22
Gram18Ayar,Daily,6866000,6866000,7023000,6901000,28000,0.41%,5/12/2020,1399/02/23
Gram18Ayar,Daily,6880000,6838000,6894000,6843000,58000,0.85%,5/13/2020,1399/02/24
Gram18Ayar,Daily,6843000,6843000,6843000,6843000,-,-,5/14/2020,1399/02/25
Gram18Ayar,Daily,7071000,7071000,7219000,7152000,309000,4.52%,5/16/2020,1399/02/27
Gram18Ayar,Daily,7159000,7159000,7436000,7210000,58000,0.81%,5/17/2020,1399/02/28
Gram18Ayar,Daily,7205000,7173000,7434000,7408000,198000,2.75%,5/18/2020,1399/02/29
Gram18Ayar,Daily,7413000,7395000,7441000,7425000,17000,0.23%,5/19/2020,1399/02/30
Gram18Ayar,Daily,7376000,7360000,7455000,7367000,58000,0.79%,5/20/2020,1399/02/31
Gram18Ayar,Daily,7367000,7367000,7367000,7367000,-,-,5/21/2020,1399/03/01
Gram18Ayar,Daily,7293000,7293000,7293000,7293000,74000,1.01%,5/23/2020,1399/03/03
Gram18Ayar,Daily,7104000,6921000,7138000,6974000,319000,4.57%,5/26/2020,1399/03/06
Gram18Ayar,Daily,7101000,7048000,7205000,7196000,222000,3.18%,5/27/2020,1399/03/07
Gram18Ayar,Daily,7196000,7196000,7196000,7196000,-,-,5/28/2020,1399/03/08
Gram18Ayar,Daily,7335000,7185000,7335000,7194000,2000,0.03%,5/30/2020,1399/03/10
Gram18Ayar,Daily,7198000,7198000,7314000,7265000,71000,0.99%,5/31/2020,1399/03/11
Gram18Ayar,Daily,7272000,7233000,7335000,7328000,63000,0.87%,6/1/2020,1399/03/12
Gram18Ayar,Daily,7289200,7129500,7375900,7226400,101600,1.41%,6/2/2020,1399/03/13
Gram18Ayar,Daily,7118000,7090000,7173000,7127000,99400,1.39%,6/6/2020,1399/03/17
Gram18Ayar,Daily,7120000,7058000,7120000,7099000,28000,0.39%,6/7/2020,1399/03/18
Gram18Ayar,Daily,7168000,7150000,7288000,7282000,183000,2.58%,6/8/2020,1399/03/19
Gram18Ayar,Daily,7263000,7263000,7390000,7346000,64000,0.88%,6/9/2020,1399/03/20
Gram18Ayar,Daily,7434000,7404000,7466000,7404000,58000,0.79%,6/10/2020,1399/03/21
Gram18Ayar,Daily,7404000,7404000,7404000,7404000,-,-,6/11/2020,1399/03/22
Gram18Ayar,Daily,7328000,7328000,7438000,7418000,14000,0.19%,6/13/2020,1399/03/24
Gram18Ayar,Daily,7425000,7395000,7459000,7402000,16000,0.22%,6/14/2020,1399/03/25
Gram18Ayar,Daily,7408000,7408000,7570000,7563000,161000,2.18%,6/15/2020,1399/03/26
Gram18Ayar,Daily,7563000,7563000,7563000,7563000,-,-,6/16/2020,1399/03/27
Gram18Ayar,Daily,7658000,7658000,7658000,7658000,95000,1.26%,6/18/2020,1399/03/29
Gram18Ayar,Daily,7875000,7875000,8027000,8027000,369000,4.82%,6/20/2020,1399/03/31
Gram18Ayar,Daily,8177000,8152000,8214000,8214000,187000,2.33%,6/21/2020,1399/04/01
Gram18Ayar,Daily,8210000,8210000,8447000,8445000,231000,2.81%,6/22/2020,1399/04/02
Gram18Ayar,Daily,8440000,8337000,8496000,8355000,90000,1.08%,6/23/2020,1399/04/03
Gram18Ayar,Daily,8360000,8124000,8360000,8124000,231000,2.84%,6/24/2020,1399/04/04
Gram18Ayar,Daily,8124000,8124000,8124000,8124000,-,-,6/25/2020,1399/04/05
Gram18Ayar,Daily,8556000,8547000,8556000,8556000,432000,5.32%,6/27/2020,1399/04/07
Gram18Ayar,Daily,8637000,8561000,8637000,8570000,14000,0.16%,6/28/2020,1399/04/08
Gram18Ayar,Daily,8717000,8662000,8741000,8741000,171000,2%,6/29/2020,1399/04/09
Gram18Ayar,Daily,8604000,8537000,8671000,8655000,86000,0.99%,6/30/2020,1399/04/10
Gram18Ayar,Daily,8660000,8655000,8893000,8891000,236000,2.73%,7/1/2020,1399/04/11
Gram18Ayar,Daily,8713700,8555900,9109600,9033800,142800,1.61%,7/2/2020,1399/04/12
Gram18Ayar,Daily,9071000,9071000,9304000,9297000,263200,2.91%,7/4/2020,1399/04/14
Gram18Ayar,Daily,9302000,9253000,9380000,9292000,5000,0.05%,7/5/2020,1399/04/15
Gram18Ayar,Daily,9299000,9269000,9385000,9385000,93000,1%,7/6/2020,1399/04/16
Gram18Ayar,Daily,9574000,9553000,9590000,9590000,205000,2.18%,7/7/2020,1399/04/17
Gram18Ayar,Daily,9586000,9586000,9766000,9664000,74000,0.77%,7/8/2020,1399/04/18
Gram18Ayar,Daily,9664000,9664000,9664000,9664000,-,-,7/9/2020,1399/04/19
Gram18Ayar,Daily,9646000,9636000,9743000,9664000,-,-,7/11/2020,1399/04/21
Gram18Ayar,Daily,9659000,9659000,9872000,9867000,203000,2.10%,7/12/2020,1399/04/22
Gram18Ayar,Daily,9957000,9826000,9960000,9955000,88000,0.89%,7/13/2020,1399/04/23
Gram18Ayar,Daily,9960000,9955000,10188000,10183000,228000,2.29%,7/14/2020,1399/04/24
Gram18Ayar,Daily,10188000,10183000,10377000,10370000,187000,1.84%,7/15/2020,1399/04/25
Gram18Ayar,Daily,10370000,10370000,10370000,10370000,-,-,7/16/2020,1399/04/26
Gram18Ayar,Daily,11144000,10514000,11151000,10585000,215000,2.07%,7/18/2020,1399/04/28
Gram18Ayar,Daily,10583000,9779000,10585000,9796000,789000,8.05%,7/19/2020,1399/04/29
